Model,Accuracy,F1 Score,Precision,Recall,TN,FP,FN,TP
CNN_v1_Original,1.0000,1.0000,1.0000,1.0000,123,0,0,44
Random_Forest,1.0000,1.0000,1.0000,1.0000,123,0,0,44
SVM_RBF,0.9760,0.9535,0.9762,0.9318,122,1,3,41
CNN_v2_BatchNorm,0.8743,0.7789,0.7255,0.8409,109,14,7,37
CNN_v3_Deep,0.7425,0.0444,1.0000,0.0227,123,0,43,1
